sys_time,dx,dy,dz,stim_state,global_trial_id
0.0,0.000352,0.0,0.0,0,0
10.0,0.003802,0.0,0.0,0,0
20.0,0.004919,0.0,0.0,0,0
30.0,0.005923,0.0,0.0,0,0
40.0,0.007794,0.0,0.0,0,0
50.0,0.008111,0.0,0.0,0,0
60.0,0.007981,0.0,0.0,0,0
70.0,0.010402,0.0,0.0,0,0
80.0,0.008533,0.0,0.0,0,0
90.0,0.012872,0.0,0.0,0,0
100.0,0.015544,0.0,0.0,0,0
110.0,0.009758,0.0,0.0,0,0
120.0,0.012962,0.0,0.0,0,0
130.0,0.012005,0.0,0.0,0,0
140.0,0.013983,0.0,0.0,0,0
150.0,0.013862,0.0,0.0,0,0
160.0,0.013559,0.0,0.0,0,0
170.0,0.013689,0.0,0.0,0,0
180.0,0.014453,0.0,0.0,0,0
190.0,0.010268,0.0,0.0,0,0
200.0,0.015413,0.0,0.0,0,0
210.0,0.013288,0.0,0.0,0,0
220.0,0.014098,0.0,0.0,0,0
230.0,0.012689,0.0,0.0,0,0
240.0,0.014259,0.0,0.0,0,0
250.0,0.012702,0.0,0.0,0,0
260.0,0.013185,0.0,0.0,0,0
270.0,0.013683,0.0,0.0,0,0
280.0,0.009393,0.0,0.0,0,0
290.0,0.013242,0.0,0.0,0,0
300.0,0.011963,0.0,0.0,0,0
310.0,0.014059,0.0,0.0,0,0
320.0,0.014085,0.0,0.0,0,0
330.0,0.011393,0.0,0.0,0,0
340.0,0.014394,0.0,0.0,0,0
350.0,0.013584,0.0,0.0,0,0
360.0,0.013708,0.0,0.0,0,0
370.0,0.013362,0.0,0.0,0,0
380.0,0.014082,0.0,0.0,0,0
390.0,0.015078,0.0,0.0,0,0
400.0,0.011599,0.0,0.0,0,0
410.0,0.014290,0.0,0.0,0,0
420.0,0.012357,0.0,0.0,0,0
430.0,0.013177,0.0,0.0,0,0
440.0,0.013613,0.0,0.0,0,0
450.0,0.008774,0.0,0.0,0,0
460.0,0.013207,0.0,0.0,0,0
470.0,0.014119,0.0,0.0,0,0
480.0,0.010213,0.0,0.0,0,0
490.0,0.013979,0.0,0.0,0,0
500.0,0.011528,0.0,0.0,0,0
510.0,0.014548,0.0,0.0,0,0
520.0,0.010714,0.0,0.0,0,0
530.0,0.014079,0.0,0.0,0,0
540.0,0.013560,0.0,0.0,0,0
550.0,0.013289,0.0,0.0,0,0
560.0,0.012694,0.0,0.0,0,0
570.0,0.013336,0.0,0.0,0,0
580.0,0.012436,0.0,0.0,0,0
590.0,0.013129,0.0,0.0,0,0
600.0,0.014716,0.0,0.0,0,0
610.0,0.009403,0.0,0.0,0,0
620.0,0.014753,0.0,0.0,0,0
630.0,0.011032,0.0,0.0,0,0
640.0,0.012973,0.0,0.0,0,0
650.0,0.014662,0.0,0.0,0,0
660.0,0.009753,0.0,0.0,0,0
670.0,0.013903,0.0,0.0,0,0
680.0,0.011506,0.0,0.0,0,0
690.0,0.014503,0.0,0.0,0,0
700.0,0.011680,0.0,0.0,0,0
710.0,0.012950,0.0,0.0,0,0
720.0,0.014696,0.0,0.0,0,0
730.0,0.007411,0.0,0.0,0,0
740.0,0.015404,0.0,0.0,0,0
750.0,0.011796,0.0,0.0,0,0
760.0,0.012929,0.0,0.0,0,0
770.0,0.012771,0.0,0.0,0,0
780.0,0.013981,0.0,0.0,0,0
790.0,0.013561,0.0,0.0,0,0
800.0,0.013792,0.0,0.0,0,0
810.0,0.014677,0.0,0.0,0,0
820.0,0.009344,0.0,0.0,0,0
830.0,0.013393,0.0,0.0,0,0
840.0,0.012614,0.0,0.0,0,0
850.0,0.014166,0.0,0.0,0,0
860.0,0.014416,0.0,0.0,0,0
870.0,0.006901,0.0,0.0,0,0
880.0,0.013172,0.0,0.0,0,0
890.0,0.014236,0.0,0.0,0,0
900.0,0.012196,0.0,0.0,0,0
910.0,0.013170,0.0,0.0,0,0
920.0,0.011119,0.0,0.0,0,0
930.0,0.015520,0.0,0.0,0,0
940.0,0.010754,0.0,0.0,0,0
950.0,0.012960,0.0,0.0,0,0
960.0,0.015805,0.0,0.0,0,0
970.0,0.006767,0.0,0.0,0,0
980.0,0.014557,0.0,0.0,0,0
990.0,0.010156,0.0,0.0,0,0
1000.0,0.013874,0.0,0.0,0,0
1010.0,0.014189,0.0,0.0,0,0
1020.0,0.009345,0.0,0.0,0,0
1030.0,0.014898,0.0,0.0,0,0
1040.0,0.010820,0.0,0.0,0,0
1050.0,0.012983,0.0,0.0,0,0
1060.0,0.013710,0.0,0.0,0,0
1070.0,0.008568,0.0,0.0,0,0
1080.0,0.014006,0.0,0.0,0,0
1090.0,0.012990,0.0,0.0,0,0
1100.0,0.014611,0.0,0.0,0,0
1110.0,0.012519,0.0,0.0,0,0
1120.0,0.012625,0.0,0.0,0,0
1130.0,0.013950,0.0,0.0,0,0
1140.0,0.010278,0.0,0.0,0,0
1150.0,0.015053,0.0,0.0,0,0
1160.0,0.012673,0.0,0.0,0,0
1170.0,0.014125,0.0,0.0,0,0
1180.0,0.013752,0.0,0.0,0,0
1190.0,0.013545,0.0,0.0,0,0
1200.0,0.014085,0.0,0.0,0,0
1210.0,0.012700,0.0,0.0,0,0
1220.0,0.013595,0.0,0.0,0,0
1230.0,0.013618,0.0,0.0,0,0
1240.0,0.012132,0.0,0.0,0,0
1250.0,0.015894,0.0,0.0,0,0
1260.0,0.012301,0.0,0.0,0,0
1270.0,0.014456,0.0,0.0,0,0
1280.0,0.012731,0.0,0.0,0,0
1290.0,0.014001,0.0,0.0,0,0
1300.0,0.013048,0.0,0.0,0,0
1310.0,0.013281,0.0,0.0,0,0
1320.0,0.011070,0.0,0.0,0,0
1330.0,0.014149,0.0,0.0,0,0
1340.0,0.014438,0.0,0.0,0,0
1350.0,0.011266,0.0,0.0,0,0
1360.0,0.014128,0.0,0.0,0,0
1370.0,0.012398,0.0,0.0,0,0
1380.0,0.013132,0.0,0.0,0,0
1390.0,0.012604,0.0,0.0,0,0
1400.0,0.014794,0.0,0.0,0,0
1410.0,0.011561,0.0,0.0,0,0
1420.0,0.012603,0.0,0.0,0,0
1430.0,0.014258,0.0,0.0,0,0
1440.0,0.009138,0.0,0.0,0,0
1450.0,0.015430,0.0,0.0,0,0
1460.0,0.010833,0.0,0.0,0,0
1470.0,0.012930,0.0,0.0,0,0
1480.0,0.012113,0.0,0.0,0,0
1490.0,0.013146,0.0,0.0,0,0
1500.0,0.015968,0.0,0.0,0,0
1510.0,0.007211,0.0,0.0,0,0
1520.0,0.015391,0.0,0.0,0,0
1530.0,0.010991,0.0,0.0,0,0
1540.0,0.012906,0.0,0.0,0,0
1550.0,0.013399,0.0,0.0,0,0
1560.0,0.010617,0.0,0.0,0,0
1570.0,0.014857,0.0,0.0,0,0
1580.0,0.010440,0.0,0.0,0,0
1590.0,0.012976,0.0,0.0,0,0
1600.0,0.013416,0.0,0.0,0,0
1610.0,0.006788,0.0,0.0,0,0
1620.0,0.015501,0.0,0.0,0,0
1630.0,0.012887,0.0,0.0,0,0
1640.0,0.013000,0.0,0.0,0,0
1650.0,0.014196,0.0,0.0,0,0
1660.0,0.008467,0.0,0.0,0,0
1670.0,0.014403,0.0,0.0,0,0
1680.0,0.011181,0.0,0.0,0,0
1690.0,0.014105,0.0,0.0,0,0
1700.0,0.014356,0.0,0.0,0,0
1710.0,0.013022,0.0,0.0,0,0
1720.0,0.013299,0.0,0.0,0,0
1730.0,0.010857,0.0,0.0,0,0
1740.0,0.014701,0.0,0.0,0,0
1750.0,0.012227,0.0,0.0,0,0
1760.0,0.014364,0.0,0.0,0,0
1770.0,0.012199,0.0,0.0,0,0
1780.0,0.013049,0.0,0.0,0,0
1790.0,0.012908,0.0,0.0,0,0
1800.0,0.014149,0.0,0.0,0,0
1810.0,0.013076,0.0,0.0,0,0
1820.0,0.013810,0.0,0.0,0,0
1830.0,0.011479,0.0,0.0,0,0
1840.0,0.014767,0.0,0.0,0,0
1850.0,0.011124,0.0,0.0,0,0
1860.0,0.014798,0.0,0.0,0,0
1870.0,0.012422,0.0,0.0,0,0
1880.0,0.012983,0.0,0.0,0,0
1890.0,0.013885,0.0,0.0,0,0
1900.0,0.010976,0.0,0.0,0,0
1910.0,0.015478,0.0,0.0,0,0
1920.0,0.010181,0.0,0.0,0,0
1930.0,0.013974,0.0,0.0,0,0
1940.0,0.013715,0.0,0.0,0,0
1950.0,0.013637,0.0,0.0,0,0
1960.0,0.014677,0.0,0.0,0,0
1970.0,0.011909,0.0,0.0,0,0
1980.0,0.014876,0.0,0.0,0,0
1990.0,0.013019,0.0,0.0,0,0
2000.0,0.012099,0.0,0.0,1,0
2010.0,0.011725,0.0,0.0,1,0
2020.0,0.009868,0.0,0.0,1,0
2030.0,0.009723,0.0,0.0,1,0
2040.0,0.009044,0.0,0.0,1,0
2050.0,0.007988,0.0,0.0,1,0
2060.0,0.007977,0.0,0.0,1,0
2070.0,0.007343,0.0,0.0,1,0
2080.0,0.008459,0.0,0.0,1,0
2090.0,0.007729,0.0,0.0,1,0
2100.0,0.010195,0.0,0.0,1,0
2110.0,0.006076,0.0,0.0,1,0
2120.0,0.007430,0.0,0.0,1,0
2130.0,0.007688,0.0,0.0,1,0
2140.0,0.007607,0.0,0.0,1,0
2150.0,0.007662,0.0,0.0,1,0
2160.0,0.008138,0.0,0.0,1,0
2170.0,0.008929,0.0,0.0,1,0
2180.0,0.008178,0.0,0.0,1,0
2190.0,0.007728,0.0,0.0,1,0
2200.0,0.005770,0.0,0.0,1,0
2210.0,0.007412,0.0,0.0,1,0
2220.0,0.009824,0.0,0.0,1,0
2230.0,0.007244,0.0,0.0,1,0
2240.0,0.005823,0.0,0.0,1,0
2250.0,0.010205,0.0,0.0,1,0
2260.0,0.006555,0.0,0.0,1,0
2270.0,0.008373,0.0,0.0,1,0
2280.0,0.007396,0.0,0.0,1,0
2290.0,0.006550,0.0,0.0,1,0
2300.0,0.009075,0.0,0.0,1,0
2310.0,0.006570,0.0,0.0,1,0
2320.0,0.009876,0.0,0.0,1,0
2330.0,0.007587,0.0,0.0,1,0
2340.0,0.007812,0.0,0.0,1,0
2350.0,0.008262,0.0,0.0,1,0
2360.0,0.007040,0.0,0.0,1,0
2370.0,0.007816,0.0,0.0,1,0
2380.0,0.006583,0.0,0.0,1,0
2390.0,0.008379,0.0,0.0,1,0
2400.0,0.008966,0.0,0.0,1,0
2410.0,0.008302,0.0,0.0,1,0
2420.0,0.007049,0.0,0.0,1,0
2430.0,0.006761,0.0,0.0,1,0
2440.0,0.008441,0.0,0.0,1,0
2450.0,0.006619,0.0,0.0,1,0
2460.0,0.009686,0.0,0.0,1,0
2470.0,0.007091,0.0,0.0,1,0
2480.0,0.006334,0.0,0.0,1,0
2490.0,0.009548,0.0,0.0,1,0
2500.0,0.006833,0.0,0.0,1,0
2510.0,0.009101,0.0,0.0,1,0
2520.0,0.008597,0.0,0.0,1,0
2530.0,0.006760,0.0,0.0,1,0
2540.0,0.007965,0.0,0.0,1,0
2550.0,0.007342,0.0,0.0,1,0
2560.0,0.007240,0.0,0.0,1,0
2570.0,0.007429,0.0,0.0,1,0
2580.0,0.009766,0.0,0.0,1,0
2590.0,0.007466,0.0,0.0,1,0
2600.0,0.008437,0.0,0.0,1,0
2610.0,0.006887,0.0,0.0,1,0
2620.0,0.005533,0.0,0.0,1,0
2630.0,0.009427,0.0,0.0,1,0
2640.0,0.008172,0.0,0.0,1,0
2650.0,0.008439,0.0,0.0,1,0
2660.0,0.006983,0.0,0.0,1,0
2670.0,0.008430,0.0,0.0,1,0
2680.0,0.007829,0.0,0.0,1,0
2690.0,0.006265,0.0,0.0,1,0
2700.0,0.011107,0.0,0.0,1,0
2710.0,0.005745,0.0,0.0,1,0
2720.0,0.007824,0.0,0.0,1,0
2730.0,0.007674,0.0,0.0,1,0
2740.0,0.006823,0.0,0.0,1,0
2750.0,0.008435,0.0,0.0,1,0
2760.0,0.007545,0.0,0.0,1,0
2770.0,0.008323,0.0,0.0,1,0
2780.0,0.008568,0.0,0.0,1,0
2790.0,0.007141,0.0,0.0,1,0
2800.0,0.007267,0.0,0.0,1,0
2810.0,0.006782,0.0,0.0,1,0
2820.0,0.009822,0.0,0.0,1,0
2830.0,0.006135,0.0,0.0,1,0
2840.0,0.007423,0.0,0.0,1,0
2850.0,0.009116,0.0,0.0,1,0
2860.0,0.008776,0.0,0.0,1,0
2870.0,0.006263,0.0,0.0,1,0
2880.0,0.008838,0.0,0.0,1,0
2890.0,0.008870,0.0,0.0,1,0
2900.0,0.004431,0.0,0.0,1,0
2910.0,0.009304,0.0,0.0,1,0
2920.0,0.007994,0.0,0.0,1,0
2930.0,0.006960,0.0,0.0,1,0
2940.0,0.009322,0.0,0.0,1,0
2950.0,0.006861,0.0,0.0,1,0
2960.0,0.008457,0.0,0.0,1,0
2970.0,0.006798,0.0,0.0,1,0
2980.0,0.008486,0.0,0.0,1,0
2990.0,0.007637,0.0,0.0,1,0
3000.0,0.008477,0.0,0.0,1,0
3010.0,0.007852,0.0,0.0,1,0
3020.0,0.007595,0.0,0.0,1,0
3030.0,0.007584,0.0,0.0,1,0
3040.0,0.005482,0.0,0.0,1,0
3050.0,0.008565,0.0,0.0,1,0
3060.0,0.009817,0.0,0.0,1,0
3070.0,0.008415,0.0,0.0,1,0
3080.0,0.008268,0.0,0.0,1,0
3090.0,0.006049,0.0,0.0,1,0
3100.0,0.009108,0.0,0.0,1,0
3110.0,0.006342,0.0,0.0,1,0
3120.0,0.006982,0.0,0.0,1,0
3130.0,0.008179,0.0,0.0,1,0
3140.0,0.006765,0.0,0.0,1,0
3150.0,0.010351,0.0,0.0,1,0
3160.0,0.006784,0.0,0.0,1,0
3170.0,0.007795,0.0,0.0,1,0
3180.0,0.008150,0.0,0.0,1,0
3190.0,0.006947,0.0,0.0,1,0
3200.0,0.008365,0.0,0.0,1,0
3210.0,0.005965,0.0,0.0,1,0
3220.0,0.008818,0.0,0.0,1,0
3230.0,0.008689,0.0,0.0,1,0
3240.0,0.008082,0.0,0.0,1,0
3250.0,0.008091,0.0,0.0,1,0
3260.0,0.007635,0.0,0.0,1,0
3270.0,0.007375,0.0,0.0,1,0
3280.0,0.007045,0.0,0.0,1,0
3290.0,0.009310,0.0,0.0,1,0
3300.0,0.007038,0.0,0.0,1,0
3310.0,0.007885,0.0,0.0,1,0
3320.0,0.007270,0.0,0.0,1,0
3330.0,0.006537,0.0,0.0,1,0
3340.0,0.009025,0.0,0.0,1,0
3350.0,0.008144,0.0,0.0,1,0
3360.0,0.007079,0.0,0.0,1,0
3370.0,0.008926,0.0,0.0,1,0
3380.0,0.007018,0.0,0.0,1,0
3390.0,0.007834,0.0,0.0,1,0
3400.0,0.007034,0.0,0.0,1,0
3410.0,0.008775,0.0,0.0,1,0
3420.0,0.008357,0.0,0.0,1,0
3430.0,0.007005,0.0,0.0,1,0
3440.0,0.008059,0.0,0.0,1,0
3450.0,0.007300,0.0,0.0,1,0
3460.0,0.008328,0.0,0.0,1,0
3470.0,0.007410,0.0,0.0,1,0
3480.0,0.008238,0.0,0.0,1,0
3490.0,0.006986,0.0,0.0,1,0
3500.0,0.007824,0.0,0.0,1,0
3510.0,0.008293,0.0,0.0,1,0
3520.0,0.006624,0.0,0.0,1,0
3530.0,0.008583,0.0,0.0,1,0
3540.0,0.007863,0.0,0.0,1,0
3550.0,0.008568,0.0,0.0,1,0
3560.0,0.006803,0.0,0.0,1,0
3570.0,0.006835,0.0,0.0,1,0
3580.0,0.009015,0.0,0.0,1,0
3590.0,0.007352,0.0,0.0,1,0
3600.0,0.008541,0.0,0.0,1,0
3610.0,0.008449,0.0,0.0,1,0
3620.0,0.006754,0.0,0.0,1,0
3630.0,0.008052,0.0,0.0,1,0
3640.0,0.006213,0.0,0.0,1,0
3650.0,0.009406,0.0,0.0,1,0
3660.0,0.007020,0.0,0.0,1,0
